,city,dist_1,dist_2,dist_18,dist_77,dist_3,dist_5,dist_6,dist_14,dist_17,dist_7,dist_8,dist_9,dist_16,dist_15,dist_22,dist_24,dist_12,dist_19,dist_35,dist_25,dist_26,dist_39,type
2010-10-31,17107.0,453.0,838.0,928.0,38.0,994.0,250.0,735.0,913.0,576.0,341.0,516.0,692.0,532.0,1455.0,1248.0,1034.0,1010.0,938.0,997.0,1140.0,748.0,731.0,Actual Values
2010-11-30,16095.0,359.0,791.0,830.0,43.0,934.0,203.0,686.0,888.0,475.0,331.0,523.0,657.0,476.0,1285.0,1150.0,1092.0,1040.0,922.0,997.0,1113.0,697.0,603.0,Actual Values
2010-12-31,13894.0,342.0,693.0,654.0,55.0,770.0,186.0,637.0,762.0,420.0,292.0,433.0,500.0,382.0,1221.0,1018.0,1042.0,795.0,754.0,807.0,937.0,609.0,585.0,Actual Values
2011-01-31,13724.0,301.0,689.0,602.0,54.0,768.0,209.0,560.0,765.0,485.0,297.0,506.0,499.0,388.0,1136.0,884.0,1047.0,807.0,736.0,804.0,954.0,652.0,581.0,Actual Values
2011-02-28,13820.0,290.0,691.0,648.0,42.0,715.0,175.0,631.0,790.0,439.0,300.0,451.0,562.0,401.0,1134.0,953.0,928.0,813.0,845.0,859.0,993.0,563.0,597.0,Actual Values
2011-03-31,16694.0,347.0,925.0,731.0,49.0,859.0,230.0,642.0,960.0,563.0,356.0,539.0,714.0,482.0,1454.0,1130.0,1284.0,1093.0,1000.0,887.0,1096.0,606.0,747.0,Actual Values
2011-04-30,16914.0,356.0,983.0,859.0,52.0,914.0,256.0,660.0,1010.0,567.0,360.0,584.0,633.0,515.0,1404.0,1128.0,1243.0,1045.0,1106.0,883.0,1036.0,667.0,653.0,Actual Values
2011-05-31,17427.0,429.0,1002.0,761.0,72.0,1027.0,245.0,713.0,1013.0,551.0,392.0,633.0,723.0,534.0,1468.0,1109.0,1198.0,1078.0,956.0,941.0,1113.0,714.0,755.0,Actual Values
2011-06-30,17900.0,486.0,1079.0,867.0,55.0,1078.0,274.0,715.0,969.0,617.0,378.0,619.0,794.0,562.0,1415.0,1096.0,1214.0,1254.0,985.0,951.0,1061.0,685.0,746.0,Actual Values
2011-07-31,17929.0,473.0,1045.0,809.0,69.0,1037.0,211.0,750.0,968.0,653.0,420.0,673.0,826.0,533.0,1387.0,1063.0,1105.0,1178.0,1116.0,1058.0,1021.0,793.0,741.0,Actual Values
2011-08-31,17913.0,443.0,1029.0,836.0,64.0,1002.0,224.0,722.0,1045.0,669.0,361.0,705.0,710.0,520.0,1547.0,1032.0,1132.0,1267.0,1106.0,977.0,1064.0,742.0,716.0,Actual Values
2011-09-30,17004.0,430.0,926.0,760.0,45.0,930.0,206.0,731.0,993.0,640.0,397.0,580.0,744.0,546.0,1371.0,1146.0,1099.0,1013.0,908.0,947.0,1098.0,779.0,715.0,Actual Values
2011-10-31,16053.0,384.0,998.0,737.0,40.0,812.0,208.0,737.0,965.0,549.0,345.0,487.0,704.0,486.0,1303.0,1152.0,1017.0,990.0,902.0,920.0,981.0,656.0,680.0,Actual Values
2011-11-30,15333.0,326.0,941.0,736.0,53.0,779.0,198.0,632.0,795.0,528.0,319.0,540.0,598.0,469.0,1384.0,964.0,980.0,937.0,935.0,901.0,937.0,708.0,673.0,Actual Values
2011-12-31,14810.0,340.0,879.0,685.0,52.0,770.0,199.0,639.0,880.0,479.0,289.0,476.0,512.0,431.0,1253.0,1041.0,976.0,896.0,929.0,796.0,966.0,694.0,628.0,Actual Values
2012-01-31,15370.0,340.0,973.0,667.0,71.0,685.0,221.0,784.0,885.0,478.0,298.0,473.0,549.0,468.0,1335.0,974.0,993.0,949.0,918.0,956.0,1018.0,653.0,682.0,Actual Values
2012-02-29,15092.0,352.0,868.0,573.0,53.0,763.0,213.0,701.0,801.0,517.0,328.0,478.0,488.0,421.0,1318.0,982.0,1248.0,960.0,875.0,816.0,1042.0,669.0,626.0,Actual Values
2012-03-31,16637.0,417.0,990.0,636.0,41.0,969.0,256.0,705.0,963.0,572.0,341.0,589.0,599.0,491.0,1398.0,962.0,1430.0,967.0,910.0,948.0,1063.0,652.0,738.0,Actual Values
2012-04-30,16659.0,394.0,959.0,785.0,46.0,962.0,217.0,682.0,883.0,583.0,307.0,619.0,519.0,539.0,1329.0,1133.0,1398.0,1036.0,870.0,920.0,1087.0,624.0,767.0,Actual Values
2012-05-31,17797.0,365.0,1014.0,780.0,67.0,953.0,236.0,773.0,1066.0,595.0,326.0,583.0,610.0,620.0,1345.0,1074.0,1539.0,1091.0,945.0,1030.0,1162.0,740.0,883.0,Actual Values
2012-06-30,17549.0,450.0,916.0,721.0,48.0,869.0,286.0,714.0,957.0,609.0,322.0,637.0,650.0,652.0,1445.0,1057.0,1442.0,1155.0,1025.0,932.0,1054.0,779.0,829.0,Actual Values
