dispatch_date,Vandalism/Criminal Mischief,DISTRICT_,Robbery Firearm,Thefts,Other Assaults,Theft from Vehicle,Fraud,Aggravated Assault No Firearm,Burglary Non-Residential,Forgery and Counterfeiting,Disorderly Conduct,Burglary Residential,All Other Offenses,Aggravated Assault Firearm,Robbery No Firearm,Narcotic / Drug Law Violations,Vagrancy/Loitering,Other Sex Offenses (Not Commercialized),Arson,Rape,Liquor Law Violations,Weapon Violations,Embezzlement,Public Drunkenness,Prostitution and Commercialized Vice,Receiving Stolen Property,Offenses Against Family and Children,Gambling Violations,DRIVING UNDER THE INFLUENCE,Recovered Stolen Motor Vehicle,Motor Vehicle Theft,Homicide - Criminal,Homicide - Criminal ,Homicide - Justifiable ,Homicide - Gross Negligence
2011-04-30,145,15,19.0,145,225,147,54,55.0,24.0,2.0,13.0,68.0,192,27.0,46.0,61.0,0.0,7.0,3.0,8.0,6.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,34.0,40,76.0,0.0,0.0,0.0,0.0
2011-05-31,122,15,20.0,171,220,150,64,61.0,17.0,3.0,13.0,69.0,223,17.0,31.0,55.0,0.0,15.0,2.0,1.0,3.0,8.0,3.0,0.0,29.0,0.0,2.0,0.0,32.0,58,78.0,0.0,1.0,0.0,0.0
2011-06-30,131,15,22.0,149,228,121,68,61.0,21.0,3.0,7.0,84.0,218,17.0,51.0,55.0,0.0,16.0,3.0,6.0,5.0,7.0,0.0,0.0,10.0,0.0,0.0,0.0,18.0,54,60.0,0.0,0.0,0.0,0.0
2011-07-31,152,15,33.0,146,207,104,73,62.0,14.0,1.0,9.0,87.0,211,11.0,38.0,55.0,0.0,7.0,3.0,11.0,5.0,4.0,2.0,0.0,17.0,0.0,2.0,0.0,17.0,48,66.0,1.0,1.0,0.0,0.0
2011-08-31,163,15,36.0,179,209,119,71,59.0,19.0,2.0,6.0,97.0,273,24.0,39.0,62.0,0.0,19.0,2.0,5.0,3.0,5.0,3.0,1.0,24.0,0.0,0.0,0.0,8.0,52,66.0,1.0,0.0,0.0,0.0
2011-09-30,134,15,44.0,158,213,111,47,52.0,21.0,0.0,10.0,94.0,145,25.0,42.0,72.0,0.0,8.0,8.0,7.0,3.0,14.0,1.0,1.0,6.0,0.0,2.0,0.0,12.0,46,95.0,0.0,0.0,0.0,0.0
2011-10-31,137,15,23.0,126,218,121,66,52.0,20.0,1.0,16.0,97.0,124,22.0,26.0,60.0,0.0,10.0,3.0,4.0,0.0,13.0,1.0,0.0,6.0,0.0,0.0,1.0,10.0,68,77.0,1.0,0.0,0.0,0.0
2011-11-30,164,15,37.0,161,212,118,56,54.0,15.0,3.0,17.0,89.0,122,22.0,29.0,64.0,1.0,20.0,11.0,10.0,4.0,13.0,2.0,0.0,6.0,0.0,1.0,0.0,19.0,58,75.0,1.0,0.0,0.0,0.0
2011-12-31,135,15,50.0,145,165,126,44,48.0,12.0,1.0,15.0,81.0,109,20.0,41.0,52.0,0.0,12.0,5.0,3.0,3.0,19.0,2.0,0.0,7.0,0.0,0.0,0.0,30.0,56,71.0,0.0,1.0,0.0,0.0
2012-01-31,145,15,40.0,124,178,113,56,36.0,18.0,1.0,22.0,64.0,242,24.0,35.0,61.0,0.0,15.0,3.0,3.0,8.0,10.0,0.0,0.0,8.0,0.0,0.0,1.0,24.0,47,54.0,3.0,0.0,0.0,0.0
2012-02-29,138,15,28.0,116,190,84,50,55.0,16.0,1.0,13.0,66.0,296,15.0,36.0,64.0,0.0,11.0,10.0,8.0,2.0,9.0,0.0,0.0,5.0,0.0,0.0,0.0,13.0,48,42.0,1.0,1.0,0.0,0.0
2012-03-31,186,15,19.0,152,254,78,94,55.0,21.0,3.0,12.0,54.0,210,21.0,37.0,45.0,0.0,9.0,8.0,2.0,4.0,17.0,0.0,0.0,10.0,0.0,2.0,0.0,35.0,48,21.0,1.0,0.0,0.0,0.0
2012-04-30,135,15,12.0,162,203,101,62,50.0,14.0,0.0,9.0,65.0,244,13.0,37.0,42.0,1.0,14.0,10.0,4.0,9.0,11.0,1.0,0.0,18.0,1.0,3.0,0.0,18.0,68,22.0,0.0,0.0,0.0,0.0
2012-05-31,128,15,15.0,157,247,83,46,60.0,11.0,2.0,14.0,58.0,230,11.0,34.0,49.0,0.0,10.0,13.0,9.0,15.0,16.0,1.0,1.0,19.0,0.0,2.0,1.0,17.0,63,28.0,2.0,3.0,0.0,0.0
2012-06-30,142,15,30.0,151,212,97,58,58.0,15.0,0.0,21.0,71.0,243,8.0,42.0,35.0,0.0,11.0,3.0,5.0,90.0,7.0,0.0,0.0,30.0,0.0,3.0,0.0,23.0,62,27.0,1.0,0.0,0.0,0.0
2012-07-31,154,15,26.0,143,199,106,64,49.0,27.0,2.0,6.0,74.0,262,16.0,36.0,45.0,0.0,10.0,6.0,5.0,36.0,6.0,2.0,0.0,10.0,0.0,3.0,0.0,24.0,75,31.0,1.0,0.0,0.0,0.0
2012-08-31,156,15,33.0,158,207,124,58,47.0,32.0,1.0,18.0,85.0,230,18.0,44.0,44.0,0.0,9.0,6.0,4.0,37.0,8.0,1.0,0.0,15.0,1.0,4.0,0.0,16.0,73,28.0,1.0,0.0,0.0,0.0
2012-09-30,148,15,32.0,155,203,131,46,63.0,13.0,0.0,15.0,78.0,198,17.0,34.0,51.0,0.0,11.0,2.0,7.0,28.0,11.0,3.0,1.0,10.0,1.0,0.0,0.0,25.0,76,39.0,3.0,0.0,0.0,0.0
2012-10-31,138,15,34.0,146,195,98,66,53.0,29.0,0.0,32.0,80.0,220,9.0,40.0,47.0,0.0,11.0,7.0,6.0,46.0,8.0,2.0,2.0,10.0,1.0,2.0,0.0,29.0,54,32.0,2.0,0.0,0.0,0.0
2012-11-30,115,15,35.0,137,165,114,48,28.0,9.0,1.0,23.0,66.0,165,8.0,35.0,45.0,0.0,14.0,2.0,9.0,11.0,12.0,2.0,1.0,11.0,0.0,1.0,0.0,25.0,68,17.0,1.0,1.0,0.0,0.0
2012-12-31,105,15,29.0,143,166,90,41,59.0,21.0,1.0,15.0,68.0,198,16.0,35.0,59.0,0.0,14.0,5.0,9.0,4.0,11.0,3.0,0.0,20.0,1.0,1.0,1.0,31.0,57,16.0,1.0,0.0,0.0,0.0
2013-01-31,116,15,25.0,118,161,97,47,59.0,8.0,1.0,19.0,76.0,147,4.0,26.0,67.0,0.0,7.0,1.0,4.0,0.0,17.0,1.0,0.0,40.0,0.0,0.0,2.0,28.0,63,14.0,1.0,0.0,0.0,0.0
2013-02-28,95,15,21.0,92,164,67,42,43.0,10.0,2.0,28.0,65.0,117,3.0,29.0,77.0,0.0,8.0,2.0,7.0,4.0,13.0,3.0,0.0,7.0,0.0,3.0,5.0,30.0,59,14.0,1.0,1.0,0.0,0.0
2013-03-31,102,15,18.0,113,174,68,53,58.0,10.0,2.0,29.0,75.0,144,17.0,47.0,64.0,0.0,9.0,3.0,6.0,3.0,9.0,2.0,0.0,10.0,2.0,1.0,0.0,30.0,54,13.0,0.0,0.0,0.0,0.0
2013-04-30,120,15,15.0,108,234,88,62,41.0,7.0,0.0,31.0,56.0,162,11.0,50.0,87.0,0.0,7.0,3.0,14.0,0.0,13.0,2.0,1.0,2.0,1.0,0.0,0.0,24.0,52,16.0,2.0,0.0,0.0,0.0
