dispatch_date,city,dist_1,dist_2,dist_18,dist_77,dist_3,dist_5,dist_6,dist_14,dist_17,dist_7,dist_8,dist_9,dist_16,dist_15,dist_22,dist_24,dist_12,dist_19,dist_35,dist_25,dist_26,dist_39
2016-12-31,12783,265,653,695,47,563,197,558,693,311,281,391,488,347,1101,867,1012,589,993,731,857,453,691
2017-01-31,12970,226,594,714,56,620,168,547,680,378,266,351,510,382,998,859,1043,692,1049,692,892,464,789
2017-02-28,11830,235,532,624,39,544,165,478,658,306,239,358,492,432,948,767,995,571,999,727,780,375,566
2017-03-31,12983,235,607,654,63,565,187,591,701,354,252,377,537,429,1029,921,905,630,1086,797,860,500,703
2017-04-30,13953,227,702,749,58,615,197,524,719,373,215,354,528,505,1140,1050,1070,744,1110,797,946,548,782
2017-05-31,15066,252,725,722,35,666,202,641,843,410,268,413,566,534,1198,1087,1175,775,1247,818,977,636,876
2017-06-30,15269,251,744,731,78,699,209,693,826,403,286,429,563,593,1168,1107,1262,740,1302,833,989,589,774
2017-07-31,15382,242,798,747,70,696,218,719,862,350,252,448,586,598,1133,1047,1152,882,1321,890,1005,591,775
2017-08-31,15202,270,732,743,65,659,213,629,818,390,261,431,616,611,1270,1031,1110,838,1284,830,889,614,898
2017-09-30,14702,251,641,729,51,663,203,690,835,383,222,377,562,540,1157,1019,1106,847,1211,874,843,638,860
2017-10-31,14740,233,795,779,55,630,218,647,848,362,249,386,552,575,1112,1090,1251,745,1152,905,910,488,758
2017-11-30,13083,210,587,628,37,586,178,540,828,376,221,338,539,512,1071,905,997,695,1015,795,791,526,708
2017-12-31,12141,204,611,597,39,518,187,502,788,278,198,354,524,479,946,793,950,661,893,756,773,439,651
2018-01-31,12400,213,562,666,63,524,186,549,754,412,232,326,510,446,1015,816,998,653,905,740,759,409,662
2018-02-28,11676,212,498,587,46,485,181,520,735,349,207,316,563,441,993,779,902,690,860,707,671,368,566
2018-03-31,12001,185,554,621,46,463,155,514,674,343,235,328,529,475,1040,817,941,746,938,747,678,355,617
2018-04-30,13940,200,622,840,59,559,211,581,792,350,238,380,612,583,1039,919,1038,757,1186,925,810,496,743
2018-05-31,14724,241,696,837,45,624,154,642,828,370,244,371,655,634,1140,950,1139,712,1272,926,847,510,887
2018-06-30,14585,226,614,709,55,656,174,721,829,426,257,423,642,595,1013,968,1113,795,1188,830,878,553,920
2018-07-31,14732,249,609,817,70,636,199,674,888,454,213,440,672,528,990,912,1148,791,1286,933,806,500,917
2018-08-31,14758,211,572,836,51,684,195,656,840,437,219,423,688,514,1102,939,1192,849,1242,808,846,601,853
2018-09-30,14007,239,578,787,53,613,200,662,809,415,219,362,653,446,952,1016,1157,646,1063,853,849,576,859
2018-10-31,14320,242,578,872,70,613,210,693,797,400,229,334,746,489,956,1020,1227,685,1002,896,885,557,819
2018-11-30,12260,183,555,656,54,548,203,568,601,385,216,356,555,403,944,888,1030,607,829,772,707,454,746
2018-12-31,12706,214,574,622,46,561,222,569,671,360,214,400,568,481,900,930,915,692,849,841,737,531,809
2019-01-31,12649,178,517,630,56,586,183,604,668,341,206,344,579,436,919,946,983,707,974,823,763,425,781
2019-02-28,11374,168,565,647,46,493,148,558,544,368,191,373,571,366,815,825,897,599,761,717,655,381,686
2019-03-31,12717,211,499,633,49,529,163,628,687,369,221,389,578,502,946,867,1018,649,831,811,811,499,827
2019-04-30,13803,239,628,703,56,561,182,708,698,367,213,387,558,630,988,1045,1094,657,985,997,796,469,842
